1.1.1.133,,unknown
1.1.1.133,2'-Deoxy-thymidine-beta-L-rhamnose,DB03723
1.1.1.133,P26392,dTDP-4-dehydrorhamnose reductase
1.1.1.205,,unknown
1.1.1.205,,yes
1.1.1.205,"6-Chloropurine Riboside, 5'-Monophosphate",DB03948
1.1.1.205,Azathioprine,DB00993
1.1.1.205,Inosinic Acid,DB04566
1.1.1.205,Mercaptopurine,DB01033
1.1.1.205,Merimepodib,DB04862
1.1.1.205,Mycophenolate mofetil,DB00688
1.1.1.205,Mycophenolic acid,DB01024
1.1.1.205,NADH,DB00157
1.1.1.205,P0C0H6,Inosine-5-monophosphate dehydrogenase
1.1.1.205,P12268,Inosine-5-monophosphate dehydrogenase 2
1.1.1.205,P20839,Inosine-5-monophosphate dehydrogenase 1
1.1.1.205,Ribavirin,DB00811
1.1.1.205,Selenazole-4-carboxyamide-adenine dinucleotide,DB03070
1.1.1.205,Taribavirin,DB06408
1.1.1.205,VX-148,DB06103
1.1.1.205,inhibitor,unknown
1.1.1.205,inhibitor,yes
1.1.1.205,substrate,unknown
1.1.1.23,,unknown
1.1.1.23,"1,4-Dithiothreitol",DB04447
1.1.1.23,Histidinol,DB03811
1.1.1.23,Imidazole,DB03366
1.1.1.23,P06988,Histidinol dehydrogenase
1.1.1.25,,unknown
1.1.1.25,"1,4-Dithiothreitol",DB04447
1.1.1.25,2'-Monophosphoadenosine-5'-Diphosphate,DB02363
1.1.1.25,Nicotinamide adenine dinucleotide phosphate,DB03461
1.1.1.25,P15770,Shikimate dehydrogenase (NADP(+))
1.1.1.25,P43876,Shikimate dehydrogenase (NADP(+))
1.1.1.267,,unknown
1.1.1.267,1-Deoxy-D-xylulose 5-phosphate,DB02496
1.1.1.267,Fosmidomycin,DB02948
1.1.1.267,P45568,1-deoxy-D-xylulose 5-phosphate reductoisomerase
1.1.1.267,"[{(5-Chloro-2-Pyridinyl)Amino} Methylene]-1,1-Bisphosphonate",DB03649
1.1.1.282,,unknown
1.1.1.282,"1,4-Dithiothreitol",DB04447
1.1.1.282,2'-Monophosphoadenosine-5'-Diphosphate,DB02363
1.1.1.282,Nicotinamide adenine dinucleotide phosphate,DB03461
1.1.1.282,P15770,Shikimate dehydrogenase (NADP(+))
1.1.1.282,P43876,Shikimate dehydrogenase (NADP(+))
1.1.1.42,,unknown
